cbsa,year,qtr,unemployment_rate
10180,1990,1,5.633333333333333
10180,1990,2,5.733333333333333
10180,1990,3,6.6000000000000005
10180,1990,4,5.833333333333333
10180,1991,1,5.433333333333334
10180,1991,2,5.6000000000000005
10180,1991,3,5.2
10180,1991,4,4.933333333333334
10180,1992,1,5.6000000000000005
10180,1992,2,5.566666666666666
10180,1992,3,5.633333333333333
10180,1992,4,5.3999999999999995
10180,1993,1,5.333333333333333
10180,1993,2,5.3
10180,1993,3,5.766666666666667
10180,1993,4,5.166666666666667
10180,1994,1,5.866666666666667
10180,1994,2,5.2
10180,1994,3,4.8
10180,1994,4,4.066666666666666
10180,1995,1,4.8
10180,1995,2,5.066666666666666
10180,1995,3,5.133333333333334
10180,1995,4,4.5
10180,1996,1,5.533333333333334
10180,1996,2,4.8999999999999995
10180,1996,3,4.466666666666667
10180,1996,4,3.8666666666666667
10180,1997,1,4.433333333333334
10180,1997,2,4.133333333333333
10180,1997,3,3.9333333333333336
10180,1997,4,3.1999999999999997
10180,1998,1,3.5666666666666664
10180,1998,2,3.6666666666666665
10180,1998,3,4.066666666666666
10180,1998,4,3.5
10180,1999,1,3.9666666666666663
10180,1999,2,3.8333333333333335
10180,1999,3,3.8000000000000003
10180,1999,4,3.6333333333333333
10180,2000,1,4.6000000000000005
10180,2000,2,4.2
10180,2000,3,4.3
10180,2000,4,3.6333333333333333
10180,2001,1,4.266666666666667
10180,2001,2,4.5
10180,2001,3,4.7
10180,2001,4,4.466666666666667
10180,2002,1,4.933333333333334
10180,2002,2,5.2
10180,2002,3,5.333333333333333
10180,2002,4,4.8999999999999995
10180,2003,1,5.366666666666667
10180,2003,2,5.6000000000000005
10180,2003,3,5.566666666666666
10180,2003,4,4.8999999999999995
10180,2004,1,5.166666666666667
10180,2004,2,4.833333333333333
10180,2004,3,4.6000000000000005
10180,2004,4,4.333333333333333
10180,2005,1,4.6000000000000005
10180,2005,2,4.3
10180,2005,3,4.3
10180,2005,4,3.9
10180,2006,1,4.233333333333333
10180,2006,2,4.233333333333333
10180,2006,3,4.166666666666667
10180,2006,4,3.466666666666667
10180,2007,1,3.733333333333333
10180,2007,2,3.533333333333333
10180,2007,3,3.6999999999999997
10180,2007,4,3.466666666666667
10180,2008,1,3.6
10180,2008,2,3.5
10180,2008,3,4.133333333333333
10180,2008,4,4.033333333333333
10180,2009,1,5.0
10180,2009,2,5.666666666666667
10180,2009,3,6.533333333333334
10180,2009,4,6.133333333333333
10180,2010,1,7.133333333333333
10180,2010,2,6.933333333333334
10180,2010,3,7.233333333333333
10180,2010,4,6.8999999999999995
10180,2011,1,7.166666666666667
10180,2011,2,7.1000000000000005
10180,2011,3,7.466666666666666
10180,2011,4,6.266666666666667
10180,2012,1,6.033333333333334
10180,2012,2,5.8999999999999995
10180,2012,3,6.0
10180,2012,4,5.233333333333333
10180,2013,1,5.7
10180,2013,2,5.6000000000000005
10180,2013,3,5.7
10180,2013,4,4.8999999999999995
10180,2014,1,4.8
10180,2014,2,4.3999999999999995
10180,2014,3,4.6000000000000005
10180,2014,4,3.8000000000000003
10180,2015,1,4.0
10180,2015,2,3.8666666666666667
10180,2015,3,4.0
10180,2015,4,3.6999999999999997
10180,2016,1,3.8333333333333335
10180,2016,2,3.8000000000000003
10180,2016,3,4.2
10180,2016,4,3.8333333333333335
10180,2017,1,4.066666666666666
10180,2017,2,3.6999999999999997
10180,2017,3,3.766666666666667
10180,2017,4,3.233333333333333
10180,2018,1,3.533333333333333
10180,2018,2,3.266666666666667
10180,2018,3,3.4
10180,2018,4,3.1
10180,2019,1,3.3000000000000003
10180,2019,2,2.8333333333333335
10180,2019,3,3.1333333333333333
10180,2019,4,2.733333333333333
10180,2020,1,3.5
10180,2020,2,8.0
10180,2020,3,6.0
10180,2020,4,4.933333333333334
10180,2021,1,5.333333333333333
10180,2021,2,4.666666666666667
10180,2021,3,4.433333333333334
10180,2021,4,3.766666666666666
10180,2022,1,3.6
10180,2022,2,3.3333333333333335
10180,2022,3,3.466666666666667
10180,2022,4,3.3666666666666667
10180,2023,1,3.8333333333333335
10180,2023,2,3.3333333333333335
10180,2023,3,3.5
10180,2023,4,3.0666666666666664
10180,2024,1,3.5
10180,2024,2,3.266666666666667
10180,2024,3,3.633333333333333
