cbsa,year,median_income,income_moe
10020,2010,42693,2243
10100,2010,45694,1574
10140,2010,41899,1429
10180,2010,42286,1168
10220,2010,37484,1808
10260,2010,11983,1478
10300,2010,48618,1174
10380,2010,13489,366
10420,2010,48570,589
10460,2010,39615,1570
10500,2010,36828,1221
10540,2010,45832,1228
10580,2010,57781,708
10620,2010,44802,1630
10660,2010,43090,1919
10700,2010,37661,1509
10740,2010,48107,561
10760,2010,36488,2644
10780,2010,40571,990
10820,2010,46789,1660
10860,2010,37020,2425
10880,2010,50240,1409
10900,2010,56908,621
10940,2010,40114,2763
10980,2010,36695,1279
11020,2010,42363,1030
11060,2010,41437,1764
11100,2010,46384,1071
11140,2010,32873,2539
11180,2010,48248,1401
11220,2010,42603,1915
11260,2010,71769,1054
11300,2010,43256,963
11340,2010,42871,1303
11380,2010,48699,4671
11420,2010,47479,1785
11460,2010,59065,1278
11500,2010,38407,1406
11540,2010,57036,822
11580,2010,35979,1645
11620,2010,39172,1917
11660,2010,31968,3369
11700,2010,44059,816
11740,2010,44542,1752
11780,2010,42139,1291
11820,2010,42223,2266
11860,2010,44175,4225
11900,2010,31559,1261
11940,2010,37146,2365
11980,2010,39779,1466
12020,2010,40627,1064
12060,2010,57550,377
12100,2010,54766,1130
12140,2010,46722,2135
12180,2010,48415,1409
12220,2010,40894,1162
12260,2010,44354,935
12300,2010,45973,1677
12380,2010,44497,2249
12420,2010,57561,600
12460,2010,33297,2443
12540,2010,47089,691
12580,2010,66195,410
12620,2010,42658,1095
12660,2010,50390,1342
12700,2010,60317,1168
12740,2010,55313,1427
12780,2010,44823,2227
12820,2010,31781,1886
12860,2010,49750,1737
12900,2010,34625,1574
12940,2010,48536,670
12980,2010,42568,1058
13020,2010,44659,1046
13060,2010,43205,2981
13100,2010,43311,2927
13140,2010,45029,971
13180,2010,52571,1188
13220,2010,38036,1917
13260,2010,40380,1647
13300,2010,40278,3741
13340,2010,46493,1964
13380,2010,49031,1383
13420,2010,43394,1813
13460,2010,53071,1384
13500,2010,27688,2179
13540,2010,47396,2346
13620,2010,41081,1265
13660,2010,35887,1791
13700,2010,39574,3276
13740,2010,48661,1187
13780,2010,46038,750
13820,2010,47760,580
13860,2010,44808,3693
13900,2010,52882,1158
13940,2010,44128,1924
13980,2010,41377,998
14020,2010,39915,1124
14060,2010,57642,1286
14100,2010,43233,1031
14140,2010,33352,1154
14180,2010,33407,2755
14220,2010,30363,2158
14260,2010,50998,530
14300,2010,44551,3077
14340,2010,49578,2086
14380,2010,31967,2281
14420,2010,42213,2396
14460,2010,69983,398
14500,2010,64839,1281
14540,2010,43088,1592
14580,2010,50136,1348
14620,2010,40097,1121
14660,2010,44075,1088
14700,2010,39811,1769
14740,2010,59549,1209
14780,2010,43159,3298
14820,2010,39408,2463
14860,2010,81268,944
14940,2010,55135,1550
15020,2010,38405,2772
15060,2010,37469,3658
15100,2010,45134,3238
15140,2010,32414,3176
15180,2010,31264,577
15220,2010,38832,2125
15260,2010,46440,2050
15340,2010,41228,1375
15380,2010,47093,469
15420,2010,40134,2727
15460,2010,42140,1494
15500,2010,44167,1245
15540,2010,58075,1179
15580,2010,37986,2441
15620,2010,40128,1125
15660,2010,40916,2267
15700,2010,45151,1681
15740,2010,37573,1581
15780,2010,31505,1997
15820,2010,35378,2285
15860,2010,37847,2026
15900,2010,41268,1239
15940,2010,44788,590
15980,2010,50014,554
16020,2010,42278,1443
16060,2010,32169,1444
16100,2010,46583,2728
16180,2010,52067,2926
16220,2010,50936,2214
16260,2010,42247,1817
16300,2010,53334,1031
16340,2010,38646,1820
16380,2010,49719,2295
16420,2010,36750,2267
16460,2010,38974,1776
16500,2010,43874,1774
16540,2010,51035,1098
16580,2010,46354,997
16620,2010,42795,779
16660,2010,37428,1474
16700,2010,50335,667
16740,2010,53471,449
16820,2010,56592,1168
16860,2010,43623,727
16900,2010,32743,1960
16940,2010,52824,1544
16980,2010,60574,218
17020,2010,43170,982
17060,2010,42626,1538
17140,2010,53651,382
17200,2010,50689,2193
17220,2010,37758,1631
17260,2010,24726,1785
17300,2010,44415,854
17340,2010,39491,1615
17380,2010,26005,1464
17420,2010,39501,1224
17460,2010,48514,365
17500,2010,37298,3997
17540,2010,46170,1741
17580,2010,38090,2036
17620,2010,14059,835
17660,2010,46336,1303
17700,2010,40603,3181
17740,2010,42133,1475
17780,2010,38426,1072
17820,2010,56358,636
17860,2010,45556,1268
17900,2010,48311,548
17940,2010,46278,1532
17980,2010,41323,772
18020,2010,52742,1482
18060,2010,37607,2209
18100,2010,49523,1944
18140,2010,52910,440
18180,2010,63012,1363
18220,2010,37038,2290
18260,2010,34505,1448
18300,2010,37491,1631
18340,2010,28122,2448
18380,2010,29960,3933
18420,2010,32342,2027
18460,2010,40192,2390
18500,2010,43867,932
18580,2010,43534,840
18620,2010,41654,2193
18660,2010,45338,2131
18700,2010,48012,2035
18740,2010,39469,1615
18820,2010,47694,1584
18860,2010,36118,4870
18880,2010,54242,1193
18900,2010,36813,1437
18940,2010,37261,2127
18980,2010,38567,1371
19020,2010,65132,3080
19060,2010,37327,1359
19100,2010,56349,230
19140,2010,41111,1122
19180,2010,39456,1329
19220,2010,36209,1735
19260,2010,35049,1068
19300,2010,50147,1046
19340,2010,48410,811
19380,2010,47381,511
19460,2010,43470,1196
19500,2010,44337,1251
19540,2010,43317,1886
19580,2010,44480,1985
19620,2010,36993,2271
19660,2010,44400,707
19700,2010,27997,2564
19740,2010,60137,383
19760,2010,45202,1586
19780,2010,57454,763
19820,2010,52409,229
19860,2010,49712,3198
19900,2010,26818,1975
19940,2010,48502,2448
19980,2010,46621,2806
20020,2010,38846,953
20060,2010,34844,1725
20100,2010,53183,1130
20140,2010,36676,1802
20180,2010,37130,1206
20220,2010,48573,1366
20260,2010,45479,674
20300,2010,44216,2943
20340,2010,43524,2365
20380,2010,42853,1391
20420,2010,56422,1984
20460,2010,37230,1775
20500,2010,50889,879
20540,2010,36856,1515
20580,2010,28813,2192
20620,2010,39502,1250
20660,2010,63017,2936
20700,2010,56733,2133
20740,2010,46975,1005
20780,2010,67078,3717
20820,2010,49509,2023
20900,2010,41148,2808
20940,2010,38685,1312
20980,2010,36464,2779
21020,2010,45876,2000
21060,2010,46467,1448
21120,2010,43642,3649
21140,2010,47258,1149
21220,2010,66850,1802
21260,2010,41232,2670
21300,2010,44502,1804
21340,2010,36333,487
21380,2010,37282,1949
21420,2010,40636,1980
21460,2010,42961,1133
21500,2010,43595,802
21540,2010,41951,1802
21580,2010,41437,3100
21640,2010,32716,1858
21660,2010,42923,720
21700,2010,40089,1219
21740,2010,58346,4424
21780,2010,46284,780
21820,2010,66598,2379
21860,2010,43960,2173
21900,2010,38115,1864
21940,2010,19627,912
21980,2010,51597,2574
22020,2010,48284,1166
22060,2010,58771,1780
22100,2010,38589,1903
22140,2010,46189,1294
22180,2010,43741,847
22220,2010,45466,775
22260,2010,43478,896
22280,2010,48433,2090
22300,2010,49070,2128
22340,2010,31497,2212
22380,2010,49510,1484
22420,2010,43483,617
22500,2010,39886,1026
22520,2010,39460,965
22540,2010,51549,981
22580,2010,35364,1507
22620,2010,27019,2493
22660,2010,56447,1152
22700,2010,40806,1613
22780,2010,43155,2321
22800,2010,41643,1904
22820,2010,43111,2847
22840,2010,35065,1772
22860,2010,42554,1115
22900,2010,38295,788
22980,2010,41014,4270
23060,2010,48866,613
23140,2010,48416,2207
23180,2010,49486,2092
23240,2010,52682,2957
23300,2010,43304,1473
23340,2010,42849,2542
23380,2010,48056,1782
23420,2010,46430,658
23460,2010,36422,1183
23500,2010,34132,2396
23540,2010,40528,999
23580,2010,50876,1401
23620,2010,48899,2436
23660,2010,40091,1917
23700,2010,31335,1661
23780,2010,50454,2400
23820,2010,60721,3753
23860,2010,42666,2069
23900,2010,56529,1263
23940,2010,76576,3128
23980,2010,37350,1844
24020,2010,50149,1240
24100,2010,43240,1904
24140,2010,41224,979
24180,2010,54583,2026
24220,2010,45266,1297
24260,2010,46066,999
24300,2010,52067,1262
24340,2010,49049,457
24380,2010,37361,2886
24420,2010,38035,1654
24460,2010,43763,1400
24500,2010,42389,1130
24540,2010,55596,1246
24580,2010,51952,817
24620,2010,36867,1512
24660,2010,43588,519
24700,2010,46894,2224
24740,2010,27797,1743
24780,2010,38916,1114
24820,2010,44280,1255
24860,2010,44705,665
24900,2010,23214,2012
24940,2010,38797,1970
24980,2010,32901,2598
25020,2010,16063,714
25060,2010,45353,1047
25100,2010,44623,2329
25180,2010,51661,1073
25220,2010,38957,1428
25260,2010,48684,1892
25300,2010,41990,1948
25340,2010,42698,1811
25380,2010,35644,1892
25420,2010,55372,792
25460,2010,35074,1866
25500,2010,45805,1334
25540,2010,66155,524
25580,2010,44233,1717
25620,2010,39273,1215
25660,2010,43606,3351
25700,2010,44543,3043
25720,2010,65204,3503
25740,2010,50943,1424
25760,2010,27361,1683
25780,2010,34025,1676
25820,2010,41127,3579
25860,2010,40346,879
25900,2010,54996,1555
25940,2010,53164,1500
25980,2010,42489,1881
26020,2010,43910,2187
26100,2010,55095,1050
26140,2010,37933,957
26180,2010,70093,725
26220,2010,51307,1970
26260,2010,36322,1873
26300,2010,36844,1213
26340,2010,34465,1662
26380,2010,48058,1081
26420,2010,55207,326
26460,2010,55546,3256
26480,2010,35947,1389
26500,2010,41700,1266
26540,2010,45964,2406
26580,2010,36607,756
26620,2010,53870,1032
26660,2010,34259,2250
26700,2010,40716,2216
26740,2010,41431,1248
26780,2010,58544,2189
26820,2010,50767,1424
26860,2010,40225,1166
26900,2010,53085,392
26940,2010,25012,1818
26980,2010,51226,1278
27020,2010,42005,1642
27060,2010,48655,1494
27100,2010,46117,1074
27140,2010,45447,834
27180,2010,40143,1673
27220,2010,62665,3049
27260,2010,52838,409
27300,2010,45461,2552
27340,2010,43561,1021
27380,2010,36966,2200
27420,2010,44620,2712
27460,2010,40639,1127
27500,2010,49716,1241
27540,2010,49695,1856
27580,2010,15556,2107
27620,2010,51164,1508
27660,2010,42907,3236
27700,2010,37340,2612
27740,2010,37572,1133
27780,2010,39574,955
27860,2010,37576,1218
27900,2010,38844,785
27940,2010,75517,5319
27980,2010,63989,1956
28020,2010,44723,755
28060,2010,44998,1967
28100,2010,50484,2098
28140,2010,55749,395
28180,2010,62531,2632
28260,2010,48447,2309
28300,2010,53828,1432
28340,2010,45818,1890
28380,2010,29375,1480
28420,2010,54374,1053
28500,2010,43072,2080
28540,2010,61695,5224
28580,2010,53821,1818
28620,2010,53889,3296
28660,2010,48228,861
28700,2010,37749,713
28740,2010,57584,1326
28780,2010,36659,5442
28820,2010,33625,1227
28860,2010,31213,1364
28900,2010,41818,1756
28940,2010,46218,555
28980,2010,60776,7958
29020,2010,46164,1461
29060,2010,54929,2371
29100,2010,49573,1116
29140,2010,43466,982
29180,2010,46472,1353
29220,2010,30686,2037
29260,2010,42162,2013
29300,2010,41770,2249
29340,2010,44368,1500
29380,2010,38214,2543
29420,2010,39785,915
29460,2010,43946,639
29500,2010,33623,3940
29540,2010,54765,568
29580,2010,38959,1473
29620,2010,50392,647
29660,2010,42890,3092
29700,2010,36684,904
29740,2010,36657,1312
29780,2010,32213,3396
29820,2010,56258,505
29860,2010,34843,1542
29900,2010,29368,2502
29940,2010,45831,1363
29980,2010,34985,1523
30020,2010,44012,1285
30060,2010,37294,1841
30100,2010,52120,1156
30140,2010,52356,1113
30220,2010,46430,2184
30260,2010,45474,1345
30280,2010,40435,2992
30300,2010,43103,1876
30340,2010,44470,2078
30380,2010,37539,1907
30420,2010,41783,2282
30460,2010,48545,1019
30500,2010,80053,2311
30580,2010,41373,2564
30620,2010,43632,1226
30660,2010,48999,3249
30700,2010,51092,572
30740,2010,47450,1653
30780,2010,46820,574
30820,2010,39354,1473
30860,2010,46817,1020
30900,2010,42587,1711
30940,2010,36787,1997
30980,2010,44276,820
31020,2010,45877,1602
31060,2010,103643,4094
31100,2010,59876,245
31140,2010,47823,438
31180,2010,42415,710
31260,2010,39148,1270
31300,2010,29667,1343
31340,2010,44560,997
31380,2010,33702,2099
31420,2010,40746,1397
31460,2010,46039,1652
31500,2010,42707,2123
31540,2010,59650,696
31580,2010,39312,1239
31620,2010,35148,3134
31660,2010,42050,1795
31700,2010,69321,928
31740,2010,43104,1598
31820,2010,49354,1115
31860,2010,51058,1305
31900,2010,42664,1237
31920,2010,48187,2462
31940,2010,40522,799
31980,2010,38985,1577
32020,2010,40511,1738
32060,2010,40579,1538
32100,2010,45130,1371
32140,2010,46872,2586
32180,2010,38818,2376
32220,2010,44425,1794
32260,2010,45232,1847
32270,2010,47204,1261
32280,2010,32358,2378
32300,2010,33642,1423
32340,2010,38621,2900
32380,2010,45588,1488
32420,2010,15165,568
32460,2010,35277,1966
32500,2010,33547,1850
32540,2010,39245,1961
32580,2010,31879,555
32620,2010,29944,1412
32660,2010,34946,2833
32700,2010,53026,2783
32740,2010,38924,1143
32780,2010,44142,1031
32820,2010,46260,509
32860,2010,48376,1845
32900,2010,43844,1566
32940,2010,32281,1266
32980,2010,46625,2469
33020,2010,40935,2823
33060,2010,35483,1300
33100,2010,48839,313
33140,2010,46014,1464
33180,2010,24724,2228
33220,2010,51103,1515
33260,2010,54945,2027
33300,2010,34513,3080
33340,2010,53043,405
33380,2010,35999,3147
33420,2010,41095,1653
33460,2010,65181,315
33500,2010,47998,1578
33540,2010,42887,1381
33580,2010,42355,3034
33620,2010,36458,2249
33660,2010,40996,723
33700,2010,51094,771
33740,2010,39705,1387
33780,2010,55366,1085
33820,2010,53088,1710
33860,2010,46404,952
33940,2010,46590,1888
