cbsa,metro_name,yr,qtr,index_nsa,index_sa
10580,"Albany-Schenectady-Troy, NY",1991,1,100.00,100.00
10580,"Albany-Schenectady-Troy, NY",1991,2,99.85,100.31
10580,"Albany-Schenectady-Troy, NY",1991,3,100.20,100.42
10580,"Albany-Schenectady-Troy, NY",1991,4,99.83,98.80
10580,"Albany-Schenectady-Troy, NY",1992,1,102.80,102.86
10580,"Albany-Schenectady-Troy, NY",1992,2,100.71,101.13
10580,"Albany-Schenectady-Troy, NY",1992,3,101.03,101.23
10580,"Albany-Schenectady-Troy, NY",1992,4,103.55,102.48
10580,"Albany-Schenectady-Troy, NY",1993,1,101.97,102.19
10580,"Albany-Schenectady-Troy, NY",1993,2,99.82,100.08
10580,"Albany-Schenectady-Troy, NY",1993,3,100.05,100.18
10580,"Albany-Schenectady-Troy, NY",1993,4,99.32,98.41
10580,"Albany-Schenectady-Troy, NY",1994,1,97.75,98.11
10580,"Albany-Schenectady-Troy, NY",1994,2,98.13,98.18
10580,"Albany-Schenectady-Troy, NY",1994,3,97.10,97.12
10580,"Albany-Schenectady-Troy, NY",1994,4,98.61,97.91
10580,"Albany-Schenectady-Troy, NY",1995,1,95.78,96.26
10580,"Albany-Schenectady-Troy, NY",1995,2,94.79,94.61
10580,"Albany-Schenectady-Troy, NY",1995,3,94.85,94.76
10580,"Albany-Schenectady-Troy, NY",1995,4,94.56,94.11
10580,"Albany-Schenectady-Troy, NY",1996,1,91.79,92.32
10580,"Albany-Schenectady-Troy, NY",1996,2,93.78,93.47
10580,"Albany-Schenectady-Troy, NY",1996,3,92.40,92.13
10580,"Albany-Schenectady-Troy, NY",1996,4,91.28,91.07
10580,"Albany-Schenectady-Troy, NY",1997,1,93.13,93.71
10580,"Albany-Schenectady-Troy, NY",1997,2,94.83,94.48
10580,"Albany-Schenectady-Troy, NY",1997,3,92.60,92.13
10580,"Albany-Schenectady-Troy, NY",1997,4,91.91,91.85
10580,"Albany-Schenectady-Troy, NY",1998,1,91.25,91.84
10580,"Albany-Schenectady-Troy, NY",1998,2,90.87,90.59
10580,"Albany-Schenectady-Troy, NY",1998,3,93.94,93.24
10580,"Albany-Schenectady-Troy, NY",1998,4,93.82,93.85
10580,"Albany-Schenectady-Troy, NY",1999,1,93.07,93.74
10580,"Albany-Schenectady-Troy, NY",1999,2,94.40,94.23
10580,"Albany-Schenectady-Troy, NY",1999,3,95.74,94.80
10580,"Albany-Schenectady-Troy, NY",1999,4,95.09,95.11
10580,"Albany-Schenectady-Troy, NY",2000,1,96.11,96.95
10580,"Albany-Schenectady-Troy, NY",2000,2,97.95,97.88
10580,"Albany-Schenectady-Troy, NY",2000,3,100.26,99.07
10580,"Albany-Schenectady-Troy, NY",2000,4,100.68,100.63
10580,"Albany-Schenectady-Troy, NY",2001,1,99.65,100.74
10580,"Albany-Schenectady-Troy, NY",2001,2,103.98,103.90
10580,"Albany-Schenectady-Troy, NY",2001,3,107.60,106.13
10580,"Albany-Schenectady-Troy, NY",2001,4,107.80,107.72
10580,"Albany-Schenectady-Troy, NY",2002,1,108.22,109.68
10580,"Albany-Schenectady-Troy, NY",2002,2,111.74,111.51
10580,"Albany-Schenectady-Troy, NY",2002,3,115.78,114.10
10580,"Albany-Schenectady-Troy, NY",2002,4,117.86,117.81
10580,"Albany-Schenectady-Troy, NY",2003,1,120.33,122.16
10580,"Albany-Schenectady-Troy, NY",2003,2,126.55,126.10
10580,"Albany-Schenectady-Troy, NY",2003,3,132.64,130.67
10580,"Albany-Schenectady-Troy, NY",2003,4,136.13,136.17
10580,"Albany-Schenectady-Troy, NY",2004,1,136.00,138.22
10580,"Albany-Schenectady-Troy, NY",2004,2,144.31,143.59
10580,"Albany-Schenectady-Troy, NY",2004,3,151.60,149.32
10580,"Albany-Schenectady-Troy, NY",2004,4,153.82,154.01
10580,"Albany-Schenectady-Troy, NY",2005,1,155.75,158.32
10580,"Albany-Schenectady-Troy, NY",2005,2,165.55,164.60
10580,"Albany-Schenectady-Troy, NY",2005,3,170.56,168.00
10580,"Albany-Schenectady-Troy, NY",2005,4,170.73,170.97
10580,"Albany-Schenectady-Troy, NY",2006,1,173.79,176.74
10580,"Albany-Schenectady-Troy, NY",2006,2,180.88,179.73
10580,"Albany-Schenectady-Troy, NY",2006,3,179.97,177.31
10580,"Albany-Schenectady-Troy, NY",2006,4,181.10,181.31
10580,"Albany-Schenectady-Troy, NY",2007,1,179.54,182.72
10580,"Albany-Schenectady-Troy, NY",2007,2,181.92,180.57
10580,"Albany-Schenectady-Troy, NY",2007,3,184.30,181.83
10580,"Albany-Schenectady-Troy, NY",2007,4,180.88,180.81
10580,"Albany-Schenectady-Troy, NY",2008,1,177.41,180.74
10580,"Albany-Schenectady-Troy, NY",2008,2,180.48,178.96
10580,"Albany-Schenectady-Troy, NY",2008,3,182.42,180.30
10580,"Albany-Schenectady-Troy, NY",2008,4,178.35,177.98
10580,"Albany-Schenectady-Troy, NY",2009,1,171.20,174.48
10580,"Albany-Schenectady-Troy, NY",2009,2,176.70,175.15
10580,"Albany-Schenectady-Troy, NY",2009,3,176.32,174.57
10580,"Albany-Schenectady-Troy, NY",2009,4,175.09,174.45
10580,"Albany-Schenectady-Troy, NY",2010,1,170.82,174.10
10580,"Albany-Schenectady-Troy, NY",2010,2,178.45,176.89
10580,"Albany-Schenectady-Troy, NY",2010,3,174.93,173.39
10580,"Albany-Schenectady-Troy, NY",2010,4,174.73,174.02
10580,"Albany-Schenectady-Troy, NY",2011,1,164.70,167.66
10580,"Albany-Schenectady-Troy, NY",2011,2,173.48,172.08
10580,"Albany-Schenectady-Troy, NY",2011,3,168.32,166.90
10580,"Albany-Schenectady-Troy, NY",2011,4,168.58,167.99
10580,"Albany-Schenectady-Troy, NY",2012,1,168.09,170.76
10580,"Albany-Schenectady-Troy, NY",2012,2,169.40,168.29
10580,"Albany-Schenectady-Troy, NY",2012,3,171.54,169.90
10580,"Albany-Schenectady-Troy, NY",2012,4,170.58,170.39
10580,"Albany-Schenectady-Troy, NY",2013,1,167.94,170.14
10580,"Albany-Schenectady-Troy, NY",2013,2,172.57,171.74
10580,"Albany-Schenectady-Troy, NY",2013,3,174.81,172.82
10580,"Albany-Schenectady-Troy, NY",2013,4,173.10,173.33
10580,"Albany-Schenectady-Troy, NY",2014,1,170.19,172.16
10580,"Albany-Schenectady-Troy, NY",2014,2,172.75,172.02
10580,"Albany-Schenectady-Troy, NY",2014,3,175.89,173.57
10580,"Albany-Schenectady-Troy, NY",2014,4,173.55,174.26
10580,"Albany-Schenectady-Troy, NY",2015,1,174.08,175.86
10580,"Albany-Schenectady-Troy, NY",2015,2,175.27,174.53
10580,"Albany-Schenectady-Troy, NY",2015,3,177.32,174.84
10580,"Albany-Schenectady-Troy, NY",2015,4,172.91,173.89
10580,"Albany-Schenectady-Troy, NY",2016,1,176.39,178.11
10580,"Albany-Schenectady-Troy, NY",2016,2,182.42,181.55
10580,"Albany-Schenectady-Troy, NY",2016,3,182.10,179.48
10580,"Albany-Schenectady-Troy, NY",2016,4,182.61,183.95
10580,"Albany-Schenectady-Troy, NY",2017,1,179.63,181.20
10580,"Albany-Schenectady-Troy, NY",2017,2,185.43,184.47
10580,"Albany-Schenectady-Troy, NY",2017,3,190.35,187.76
10580,"Albany-Schenectady-Troy, NY",2017,4,187.56,188.83
10580,"Albany-Schenectady-Troy, NY",2018,1,191.48,193.34
10580,"Albany-Schenectady-Troy, NY",2018,2,191.23,189.98
10580,"Albany-Schenectady-Troy, NY",2018,3,194.77,192.25
10580,"Albany-Schenectady-Troy, NY",2018,4,193.17,194.44
10580,"Albany-Schenectady-Troy, NY",2019,1,192.09,194.19
10580,"Albany-Schenectady-Troy, NY",2019,2,197.35,195.68
10580,"Albany-Schenectady-Troy, NY",2019,3,198.39,196.04
10580,"Albany-Schenectady-Troy, NY",2019,4,194.22,195.27
10580,"Albany-Schenectady-Troy, NY",2020,1,197.95,200.68
10580,"Albany-Schenectady-Troy, NY",2020,2,204.91,202.68
10580,"Albany-Schenectady-Troy, NY",2020,3,211.68,209.19
10580,"Albany-Schenectady-Troy, NY",2020,4,220.84,222.03
10580,"Albany-Schenectady-Troy, NY",2021,1,222.84,226.46
10580,"Albany-Schenectady-Troy, NY",2021,2,240.83,237.64
10580,"Albany-Schenectady-Troy, NY",2021,3,247.49,244.67
10580,"Albany-Schenectady-Troy, NY",2021,4,249.07,250.22
10580,"Albany-Schenectady-Troy, NY",2022,1,255.28,260.13
