cbsa,year,qtr,qcew_avg_wkly_wage,qcew_employment
10180,2016,1,709,65359
10180,2016,2,718,65429
10180,2016,3,762,65580
10180,2016,4,789,65978
10420,2016,1,917,315179
10420,2016,2,851,321295
10420,2016,3,894,323535
10420,2016,4,932,322870
10500,2016,1,719,58485
10500,2016,2,715,58650
10500,2016,3,755,59662
10500,2016,4,778,61159
10540,2016,1,741,44643
10540,2016,2,763,45527
10540,2016,3,808,45437
10540,2016,4,837,45722
10580,2016,1,977,434952
10580,2016,2,1033,446632
10580,2016,3,1017,442291
10580,2016,4,1035,446274
10740,2016,1,819,366000
10740,2016,2,842,369755
10740,2016,3,872,373780
10740,2016,4,873,373975
10780,2016,1,716,61823
10780,2016,2,743,62200
10780,2016,3,767,61512
10780,2016,4,787,61077
10900,2016,1,938,342890
10900,2016,2,914,352558
10900,2016,3,942,352301
10900,2016,4,976,354914
11020,2016,1,703,57806
11020,2016,2,712,59528
11020,2016,3,783,58824
11020,2016,4,792,58305
11100,2016,1,818,115081
11100,2016,2,811,115570
11100,2016,3,849,115024
11100,2016,4,883,116443
11180,2016,1,890,44553
11180,2016,2,873,46146
11180,2016,3,900,45986
11180,2016,4,932,45039
11260,2016,1,1025,171868
11260,2016,2,1020,177211
11260,2016,3,1069,177986
11260,2016,4,1045,172151
11460,2016,1,1044,205652
11460,2016,2,1074,202526
11460,2016,3,1097,209551
11460,2016,4,1099,211655
11500,2016,1,701,43685
11500,2016,2,714,43865
11500,2016,3,741,43787
11500,2016,4,742,44128
11540,2016,1,834,118541
11540,2016,2,819,123254
11540,2016,3,858,121097
11540,2016,4,903,121031
11700,2016,1,712,182517
11700,2016,2,735,185853
11700,2016,3,767,186716
11700,2016,4,805,188689
12020,2016,1,838,83076
12020,2016,2,776,84244
12020,2016,3,825,85189
12020,2016,4,839,86446
12100,2016,1,837,121614
12100,2016,2,836,131815
12100,2016,3,845,128278
12100,2016,4,885,122698
12220,2016,1,679,55249
12220,2016,2,692,56354
12220,2016,3,704,57968
12220,2016,4,769,58331
12260,2016,1,842,218412
12260,2016,2,830,220040
12260,2016,3,883,219681
12260,2016,4,885,222113
12420,2016,1,1094,941193
12420,2016,2,1051,956731
12420,2016,3,1107,960285
12420,2016,4,1158,972798
12540,2016,1,844,295029
12540,2016,2,822,316493
12540,2016,3,861,325320
12540,2016,4,868,310503
12580,2016,1,1080,1294453
12580,2016,2,1044,1322521
12580,2016,3,1104,1319776
12580,2016,4,1162,1331747
12620,2016,1,729,67936
12620,2016,2,742,70694
12620,2016,3,780,70349
12620,2016,4,783,70097
12700,2016,1,848,85589
12700,2016,2,835,106278
12700,2016,3,856,101865
12700,2016,4,942,90996
12940,2016,1,930,385933
12940,2016,2,928,382507
12940,2016,3,964,383722
12940,2016,4,1003,384921
12980,2016,1,999,55910
12980,2016,2,902,57876
12980,2016,3,960,57140
12980,2016,4,977,57051
13020,2016,1,778,34228
13020,2016,2,763,35411
13020,2016,3,815,35374
13020,2016,4,851,34707
13140,2016,1,1032,159247
13140,2016,2,985,159866
13140,2016,3,1020,158617
13140,2016,4,1035,157762
13220,2016,1,678,41164
13220,2016,2,713,42782
13220,2016,3,728,42284
13220,2016,4,724,41847
13380,2016,1,824,86122
13380,2016,2,806,88823
13380,2016,3,843,88221
13380,2016,4,852,88498
13460,2016,1,766,74252
13460,2016,2,797,78508
13460,2016,3,825,78638
13460,2016,4,838,78023
13740,2016,1,815,82644
13740,2016,2,840,85246
13740,2016,3,869,85186
13740,2016,4,909,83570
13780,2016,1,781,98773
13780,2016,2,822,100817
13780,2016,3,832,100665
13780,2016,4,820,101317
13820,2016,1,975,479871
13820,2016,2,922,485177
13820,2016,3,963,484930
13820,2016,4,997,488198
13900,2016,1,902,70721
13900,2016,2,895,72639
13900,2016,3,944,71901
13900,2016,4,974,71084
13980,2016,1,731,69295
13980,2016,2,742,69340
