origin,origin_q,n_train,n_train_events,n_scored,n_events,pr_auc,roc_auc,precision_at_10,recall_at_10,recall_at_20
2021Q1,8084,1438,9,210,8,0.6678723323460165,0.8898514851485149,0.6,0.75,0.75
2021Q2,8085,1648,17,203,3,0.2207282913165266,0.9624999999999999,0.2,0.6666666666666666,1.0
2021Q3,8086,1851,20,200,9,0.40034945656720683,0.9627690517742874,0.3,0.3333333333333333,1.0
2021Q4,8087,2051,29,190,3,0.13701733648542158,0.8966131907308378,0.2,0.6666666666666666,0.6666666666666666
2022Q1,8088,2241,32,189,8,0.2964736856396449,0.9233425414364641,0.2,0.25,0.5
2022Q2,8089,2430,40,183,10,0.5244745951722696,0.9578034682080925,0.6,0.6,0.8
2022Q3,8090,2613,50,173,0,,,,,
2022Q4,8091,2786,50,172,0,,,,,
2023Q1,8092,2958,50,182,0,,,,,
2023Q2,8093,3140,50,192,1,0.07692307692307693,0.93717277486911,0.0,0.0,1.0
2023Q3,8094,3332,51,196,0,,,,,
2023Q4,8095,3528,51,208,0,,,,,
2024Q1,8096,3736,51,223,0,,,,,
2024Q2,8097,3959,51,235,0,,,,,
2024Q3,8098,4194,51,235,1,1.0,1.0,0.1,1.0,1.0
2024Q4,8099,4429,52,241,0,,,,,
2025Q1,8100,4670,52,245,0,,,,,
2025Q2,8101,4915,52,344,0,,,,,
2025Q3,8102,5259,52,344,0,,,,,
2025Q4,8103,5603,52,346,0,,,,,
