model,fold,roc_auc,pr_auc
model 1,1,0.9363636363636364,0.2988095238095238
model 1,2,0.8430451127819549,0.2297039160205078
model 1,3,0.9177215189873418,0.2723081568190264
model 1,4,0.9116222760290557,0.6441881100266194
model 1,5,0.9221311475409836,0.44818007662835246
model 1,6,0.9457831325301205,0.18382352941176472
model 1,7,0.8701492537313433,0.15029304029304028
model 1,8,0.9910071942446043,0.8125
model 1,9,0.8637037037037036,0.33351515151515154
model 1,10,0.9444444444444444,0.3261904761904762
model 2,1,0.9363636363636364,0.2988095238095238
model 2,2,0.8430451127819549,0.2297039160205078
model 2,3,0.9177215189873418,0.2723081568190264
model 2,4,0.9116222760290557,0.6441881100266194
model 2,5,0.9221311475409836,0.44818007662835246
model 2,6,0.9457831325301205,0.18382352941176472
model 2,7,0.8701492537313433,0.15029304029304028
model 2,8,0.9910071942446043,0.8125
model 2,9,0.8637037037037036,0.33351515151515154
model 2,10,0.9444444444444444,0.3261904761904762
